Altium Designer Pick and Place Locations
E:\Programy\Projekty\Microinverter\V2\DCAC\Project Outputs for DCAC\Pick Place\Pick Place for DCAC_V2b.txt

========================================================================================================================
File Design Information:

Date:       14/11/21
Time:       22:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                               Layer       Footprint                         Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                        "JLCPCB Part #" 
Q3         2N7002                                BottomLayer SOT23-3                           5566.929      2463.583      270      "N-Channel Enhancement Mode Field Effect Transistor, 60 V, 0.115 A, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"                                                                                                             C8545           
Q19        2N7002-7-F                            BottomLayer DIOD-SOT23-3_V                    3899.012      4243.017      0        "N-Channel Enhancement Mode Field Effect Transistor, 60 V, 0.115 A, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"                                                                                                             C8545           
Q7         2N7002-7-F                            BottomLayer DIOD-SOT23-3_V                    3478.347      1455.709      0        "N-Channel Enhancement Mode Field Effect Transistor, 60 V, 0.115 A, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"                                                                                                             C8545           
Q16        2N7002                                BottomLayer SOT23-3                           5720.472      2479.331      0        "N-Channel Enhancement Mode Field Effect Transistor, 60 V, 0.115 A, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"                                                                                                             C8545           
D19        SM4007PL                              BottomLayer DIOD-SOD-123-2_V                  5915.158      2135.630      270      "1.1V 1A 10uA 1kV 1kV - 1A SOD-123FL Diodes - General Purpose ROHS"                                                                                                                                                                C64898          
C22        10nF                                  BottomLayer CAPC1608X90X35NL10T15             2875.984      2359.252      90       "X7R ±10% 50V 10nF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                                                                                                         C57112          
C131       10nF                                  BottomLayer CAPC1608X90X35NL10T15             3194.500      1154.703      90       "X7R ±10% 50V 10nF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                                                                                                         C57112          
C99        10nF                                  BottomLayer CAPC1608X90X35NL10T15             2540.551      1432.284      0        "X7R ±10% 50V 10nF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                                                                                                         C57112          
C151       10nF                                  BottomLayer CAPC1608X90X35NL10T15             3523.864      1985.335      0        "X7R ±10% 50V 10nF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                                                                                                         C57112          
C129       10nF                                  BottomLayer CAPC1608X90X35NL10T15             3132.874      5173.228      270      "X7R ±10% 50V 10nF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                                                                                                         C57112          
C186       22uF                                  BottomLayer CAPC1206(3216)190_N               5169.095      3655.315      90       "X5R ±10% 10V 22uF 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                                                                                                         C5672           
C162       22uF                                  BottomLayer CAPC1206(3216)190_N               4455.709      3365.157      270      "X5R ±10% 10V 22uF 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                                                                                                         C5672           
C8         22uF                                  BottomLayer CAPC1206(3216)190_N               5310.827      3750.000      180      "X5R ±10% 10V 22uF 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                                                                                                         C5672           
C7         22uF                                  BottomLayer CAPC1206(3216)190_N               4500.787      2771.653      180      "X5R ±10% 10V 22uF 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                                                                                                         C5672           
C18        C1206C105K3RACTU                      BottomLayer CAPC3216X180X50NL20T25            4402.559      2548.228      270      "X7R ±10% 50V 4.7uF 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                                                                                                        C29823          
C77        C1206C105K3RACTU                      BottomLayer CAPC3216X180X50NL20T25            5553.150      5138.779      180      "X7R ±10% 50V 4.7uF 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                                                                                                        C29823          
R216       18K                                   TopLayer    RESC1608X55X30NL20T10             4177.165      4360.236      180      "18kO ±1% ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                                  C25810          
R6         18K                                   BottomLayer RESC1608X55X30NL20T20             3685.630      1841.221      180      "18kO ±1% ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                                  C25810          
R222       18K                                   BottomLayer RESC1608X55X30NL20T20             3466.535      4247.047      270      "18kO ±1% ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                                  C25810          
R178       18K                                   BottomLayer RESC1608X55X30NL20T20             2353.346      4043.307      180      "18kO ±1% ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                                  C25810          
R21        120K                                  BottomLayer RESC1608X55X30NL15T15             2356.299      4373.032      270      "120kO ±1% ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                                 C25808          
R22        10K                                   BottomLayer RESC1609X50X30NL10T20             2330.709      4446.850      180      "±1% ±100ppm/? 10kO 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                                  C25804          
R167       10K                                   TopLayer    RESC1609X55X30NL15T15             1693.307      3377.165      0        "±1% ±100ppm/? 10kO 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                                  C25804          
