Altium Designer Pick and Place Locations
E:\Programy\Projekty\Microinverter\V2\DCDC\Project Outputs for DCDC\DCDC\Pick Place\Pick Place for DCDCv1.1.txt

========================================================================================================================
File Design Information:

Date:       14/11/21
Time:       21:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator      Comment                               Layer       Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                       "JLCPCB Part #" 
D14             PMEG10010ELR                          TopLayer    DIOD-SOD-123-2_V                1187.008      5027.559      90       "1.0 A Surface Mount Schottky Barrier Rectifier, 40 V, -65 to 125 degC, 2-Pin SOD-123 Package, RoHS, Tape and Reel"                               C8598           
D12             PMEG10010ELR                          TopLayer    DIOD-SOD-123-2_V                1748.032      3533.464      270      "1.0 A Surface Mount Schottky Barrier Rectifier, 40 V, -65 to 125 degC, 2-Pin SOD-123 Package, RoHS, Tape and Reel"                               C8598           
D2              1N5819HW-7-F                          BottomLayer DIOD-SOD-123-2_V                4775.591      3991.142      0        "1.0 A Surface Mount Schottky Barrier Rectifier, 40 V, -65 to 125 degC, 2-Pin SOD-123 Package, RoHS, Tape and Reel"                               C8598           
D1              1N5819HW-7-F                          BottomLayer DIOD-SOD-123-2_V                4927.165      4809.055      90       "1.0 A Surface Mount Schottky Barrier Rectifier, 40 V, -65 to 125 degC, 2-Pin SOD-123 Package, RoHS, Tape and Reel"                               C8598           
Q17             2N7002-7-F                            TopLayer    DIOD-SOT23-3_V                  1183.071      3252.953      180      "N-Channel Enhancement Mode Field Effect Transistor, 60 V, 0.115 A, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"                            C8545           
Q16             2N7002-7-F                            TopLayer    DIOD-SOT23-3_V                  1289.292      4753.858      180      "N-Channel Enhancement Mode Field Effect Transistor, 60 V, 0.115 A, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"                            C8545           
Q15             2N7002-7-F                            TopLayer    DIOD-SOT23-3_V                  1289.292      4620.000      180      "N-Channel Enhancement Mode Field Effect Transistor, 60 V, 0.115 A, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"                            C8545           
C112            10nF                                  TopLayer    CAPC1005X56X25NL10T15           2278.495      4946.690      315      "X7R ±10% 50V 10nF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                        C57112          
C70             10nF                                  TopLayer    CAPC1608X90X35NL10T15           3505.905      5216.535      180      "X7R ±10% 50V 10nF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                        C57112          
C58             10nF                                  TopLayer    CAPC1005X56X25NL10T15           4959.646      3393.701      0        "X7R ±10% 50V 10nF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                        C57112          
C15             22uF                                  TopLayer    CAPC1206(3216)190_N             3585.630      3789.370      180      "X5R ±10% 10V 22uF 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                        C5672           
C91             4.7nF                                 BottomLayer CAPC1608X90X35ML10T15           1187.701      4129.779      180      "X7R ±10% 4.7nF 50V 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                       C53987          
C29             4.7nF                                 BottomLayer CAPC1608X90X20NL10              2423.228      4809.055      45       "X7R ±10% 4.7nF 50V 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                       C53987          
R65             2K                                    TopLayer    RESC1005X40X25NL05T10           5056.102      3315.945      90       "1/16W ±1% 2kO ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS"                                                                                 C4109           
R15             68K                                   TopLayer    RESC1005X40X25NL05T05           3462.598      4477.362      180      "1/16W ±1% ±100ppm/? 68kO 0402 Chip Resistor - Surface Mount ROHS"                                                                                C36871          
C34             10pF                                  TopLayer    CAPC1005X56X25NL10T15           3315.325      4454.496      90       "C0G ±5% 10pF 50V 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                         C32949          
Y1              Q13FC1350000400                       TopLayer    ABRA-ABS07_A_V                  2901.390      4755.994      135      "Tuning Fork Crystal, 32.768 KHz, +/- 20 ppm, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"                                                     C32346          
C33             4.7uF                                 TopLayer    CAPC3216X180X50NL20T25          3615.158      4341.535      90       "X7R ±10% 50V 4.7uF 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                       C29823          
C20             C1206C105K3RACTU                      BottomLayer CAPC3216X180X50ML20T25          5035.433      4802.166      270      "X7R ±10% 50V 4.7uF 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                       C29823          
C19             C1206C105K3RACTU                      BottomLayer CAPC3216X180X50ML20T25          4771.654      4083.662      180      "X7R ±10% 50V 4.7uF 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                       C29823          
C1              "100 nF"                              TopLayer    CAPC2013X94X50NL20T25           5253.937      3335.630      90       "X7R 100nF ±10% 100V 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                      C28233          
C9              "100 nF"                              TopLayer    CAPC2013X94X50NL20T25           4610.236      4418.307      270      "X7R 100nF ±10% 100V 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                      C28233          
C2              "100 nF"                              TopLayer    CAPC2013X94X50NL20T25           4610.236      5015.748      90       "X7R 100nF ±10% 100V 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                      C28233          
R73             18K                                   TopLayer    RESC1608X55X30NL20T20           3240.157      3530.512      270      "18kO ±1% ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                 C25810          
R27             18K                                   BottomLayer RESC1608X55X30NL20T20           4249.016      5292.323      0        "18kO ±1% ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                 C25810          
R124            10K                                   TopLayer    RESC1608X55X25NL10T15           1815.945      3436.024      90       "±1% ±100ppm/? 10kO 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                 C25804          
R77             10K                                   TopLayer    RESC1608X55X25NL10T15           2903.543      4323.819      135      "±1% ±100ppm/? 10kO 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                 C25804          
R79             10K                                   TopLayer    RESC1608X55X25NL10T15           3994.095      3686.024      270      "±1% ±100ppm/? 10kO 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                 C25804          
R3              10k                                   TopLayer    RESC1608X55X25NL10T15           2861.220      4280.512      135      "±1% ±100ppm/? 10kO 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                 C25804          
R71             100K                                  TopLayer    RESC1608X55X25NL10T15           3612.205      5217.520      0        "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R52             100K                                  TopLayer    RESC1608X55X25NL10T15           3463.583      3655.512      0        "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R132            100K                                  BottomLayer RESC1608X55X25NL10T15           1940.945      4510.827      225      "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R123            100K                                  TopLayer    RESC1608X55X25NL10T15           1844.488      3304.134      0        "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R122            100K                                  TopLayer    RESC1608X55X25NL10T15           1846.457      3249.016      180      "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R118            100K                                  TopLayer    RESC1608X55X25NL10T15           5397.638      3457.677      90       "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R115            100k                                  TopLayer    RESC1608X55X25ML10T15           1276.575      3253.937      270      "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R4              100k                                  TopLayer    RESC1608X55X25NL10T15           1304.134      4911.417      0        "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R102            100k                                  TopLayer    RESC1608X55X25NL10T15           1846.457      3186.024      180      "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R7              100K                                  TopLayer    RESC1608X55X25NL10T15           4915.582      3469.853      270      "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R156            100k                                  TopLayer    RESC1608X55X25ML10T15           1389.764      4751.968      270      "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R155            100k                                  TopLayer    RESC1608X55X25ML10T15           1387.795      4619.095      270      "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R145            100K                                  TopLayer    RESC1608X55X25NL10T15           2990.157      5070.866      45       "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R144            100K                                  TopLayer    RESC1608X55X25NL10T15           2936.024      5123.032      45       "±1% 100kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                C25803          
R50             47K                                   TopLayer    RESC1005X40X25NL05T05           3273.003      4391.504      0        "1/16W ±1% ±100ppm/? 47kO 0402 Chip Resistor - Surface Mount ROHS"                                                                                C25792          
R46             470k                                  TopLayer    RESC1005X40X25NL05T05           3462.598      4442.913      0        "±1% 1/16W 470kO ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS"                                                                               C25790          
R5              39K                                   TopLayer    RESC1005X40X25NL05T10           4979.331      3316.929      270      "±1% 39kO 1/16W ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS"                                                                                C25783          
R103            12K                                   TopLayer    RESC1005X40X25ML05T05           1414.370      3143.701      0        "Chip Resistor, 12 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                 C25752          
R82             10K                                   TopLayer    RESC1005X40X25NL05T10           1760.827      3140.748      180      "1/16W ±1% ±100ppm/? 10kO 0402 Chip Resistor - Surface Mount ROHS"                                                                                C25744          
R41             100K                                  TopLayer    RESC1005X40X25NL05T10           3272.018      4311.780      180      "1/16W ±1% ±100ppm/? 100kO 0402 Chip Resistor - Surface Mount ROHS"                                                                               C25741          
R60             5.1R                                  TopLayer    RESC1608X55X30NL15T15           5193.898      3312.992      90       "±1% ±400ppm/? 5.1O 0.1W 0603 Chip Resistor - Surface Mount ROHS"                                                                                 C25197          
